"dcra_code","tank_farm_id","uscg_id","aea_id","community_fips_code","entity_name","number_of_tanks","total_capacity","gasoline_capacity","diesel_capacity","av_gas_capacity","jet_fuel_capacity","other_fuel_capacity","barge_delivery","plane_delivery","road_delivery","inspected_by_uscg","fuel_supplier","recommendations_by_aea","distance_to_barge_mooring","tank_farm_evaluation_id","data_source","report","geometry"
"9C729250-0809-4D28-8591-7130D402279B",3,,"141-BF-06","0216360","Louisiana Pacific Ketchikan PulpCoffman Cove, AK 99918",,45842,,,,,,false,false,true,false,,,,727,AEA,"2015 Assessment",POINT (-132.8306884765625 56.0111083984375)
D54CE33A-6C0C-486B-ABA1-2034B64E891D,5,,,"0216360",R&R Fuels,2,5000,5000,0,,,,false,false,true,false,Petro Marine,"Site Location: Tank farm in flood plain;  Facility threatened by coastal erosion/avalanche/river erosion/other;  Tank Farm within 100-feet of a well. 
Secondary Containment:  No containment;  Inadequate containment. 
Foundations:  Belly of tank more than ",,729,AEA,"2015 Assessment",POINT (-132.82830810546875 56.0142822265625)
DF11E142-0A1B-4FD7-870D-B2432FB23B38,6,,"149-BF-03","0217740",Petro Marine Services,,320010,,,,,,true,false,false,false,,,,774,AEA,"2015 Assessment",POINT (-133.1405029296875 55.4888916015625)
"3713199D-C95C-4158-ADFE-C5C1FE425640",7,,"150-BF-08","0217740",Ward Cove Packing,,1100,,,,,,true,false,false,false,,,,775,AEA,"2015 Assessment",POINT (-133.13677978515625 55.47607421875)
A3C5A24A-8CD9-4E80-B046-F4962CD034BE,7,,"150-BF-08","0217740",Ward Cove Packing,,1100,,,,,,true,false,false,false,,,,775,AEA,"2015 Assessment",POINT (-133.13677978515625 55.47607421875)
"5CE97A73-0D33-4600-836B-A3E084CE3826",8,,"148-BF-02","0217740",Alaska Power & Telephone,4,21900,,21900,,,,true,false,false,false,Petro Marine,"Site Location: Tank farm in flood plain;  Facility threatened by coastal erosion/avalanche/river erosion/other;  Tank Farm within 100-feet of a well.
Secondary Containment:  No containment;  Inadequate containment.
Foundations: Belly of tank more than 12i",,776,AEA,"2015 Assessment",POINT (-132.8280029296875 56.01727294921875)
"21DDAD1B-9C61-47BD-A8C6-33E062CB10ED",9,,,"0217740",City of Craig,,998,,,,,,true,false,false,false,,,,777,AEA,"2015 Assessment",POINT (-133.13690185546875 55.47607421875)
"5C69DCCA-C3EA-4055-A242-C577155B97AB",10,,,"0217740",AT&T/Alascom,,2000,,,,,,true,false,false,false,,,,778,AEA,"2015 Assessment",POINT (-133.14739990234375 55.47650146484375)
C0620CC1-EBEF-4F2F-AF56-158342519586,12,,"149-BF-02","0217740","Senior ApartmentTlingit-Haida Regional Housing Authority5446 Jenkins Dr.Juneau, AK 99801",,1100,,,,,,true,false,false,false,,,,854,AEA,"2015 Assessment",POINT (-133.14080810546875 55.47247314453125)
"96E5368E-7124-4460-A687-759DC084F019",13,,,"0222140",Elfin Cove Community Council,3,102465,,98000,,,,true,false,false,false,,,,625,AEA,,POINT (-136.34649658203125 58.19427490234375)
"31253619-C27C-45C2-B04C-29DC2F737A49",14,,,"0230940",Dick Levitt,,108740,,,,,,true,false,false,false,,,,663,AEA,,POINT (-135.88739013671875 58.4525146484375)
"375B0BE8-37A8-4560-8FF4-1D5C1841820D",15,,,"0230940",Glacier Bay National Park,,7600,,,,,,true,false,false,false,,,,858,AEA,,POINT (-135.868408203125 58.4556884765625)
F90B614D-0126-446C-8EA2-D45D46B53701,16,,,"0230940",Dick Levitt,,9432,,,,,,true,false,false,false,,,,664,AEA,,POINT (-135.70941162109375 58.42352294921875)
"2BE14DE6-6F88-4708-9D02-A0D0695E325F",17,,,"0230940","Dick LevittPower Plant GeneratorsGustavus Dray, Inc.",,2938,,,,,,true,false,false,false,,,,665,AEA,,POINT (-135.88787841796875 58.45269775390625)
B057ED6C-AB74-4C0C-A33E-C27C193AC3EA,18,,,"0230940",Dick Levitt,,7520,,,,,,true,false,false,false,,,,666,AEA,,POINT (-135.72637939453125 58.4124755859375)
"8B7B524E-71CF-40B9-BE1E-CAE473BC5CE7",19,,,"0230940",Whalesong Lodge,,1000,,,,,,true,false,false,false,,,,859,AEA,,POINT (-135.88250732421875 58.4547119140625)
BB50F72C-CB36-4632-9736-BFCF1FD13E72,26,,,"0233360",Hoonah Oil Company/L Kane StoreCorrine Thompson,,101360,,,,,,true,false,false,false,,,,619,AEA,,POINT (-135.4530029296875 58.11492919921875)
"173A65EE-29AC-4AA7-AA27-766F4B89A6C3",27,,,"0233360",Hoonah Cold Storage,,1971,,,,,,true,false,false,false,,,,18,AEA,,POINT (-135.44781494140625 58.1094970703125)
"1D3152B7-FC9D-4968-B000-12057FAB74D7",30,,"223-BF-01","0233360",Ward Cove Packing Company,,6100,,,,,,true,false,false,false,,,,620,AEA,,POINT (-135.4495849609375 58.113525390625)
"473D6546-4125-4228-8C36-95B76AA0FC27",32,,,"0233360",Hoonah Public Works,,2000,,,,,,true,false,false,false,,,,622,AEA,,POINT (-135.44061279296875 58.10992431640625)
"9BCB41EC-DF28-4A3E-BDB7-216A0745DF9E",33,,"223-BF-10","0233360",Whitestone Logging,,71257,,,,,,true,false,false,false,,,,623,AEA,,POINT (-135.46771240234375 58.096923828125)
"1C7E00F7-FF5D-4FA7-8DA7-64B429F2682D",34,,"223-BF-09","0233360","Tlingit-Haida Regional Housing AuthorityHemlock Street and Raven DriveHoonah, Alaska 99829",,1100,,,,,,true,false,false,false,,,,850,AEA,,POINT (-135.4390869140625 58.110107421875)
EF0093E9-D1F3-42AA-B772-A3A3E6267575,35,,"223-BF-11","0233360","Tom Budd ResidenceFirst StreetHoonah, Alaska 99829",,700,,,,,,true,false,false,false,,,,851,AEA,,POINT (-135.44708251953125 58.111328125)
"92136E75-35E2-441E-86C7-EB3CFA08A9C6",36,,"232-BF-03","0234460",Haida Oil Products,,100000,,,,,,true,false,false,false,,,,670,AEA,"2015 Assessment",POINT (-132.8275146484375 55.20489501953125)
FAFA9E0C-DDE5-4987-8789-2B08C79EA31C,38,,"232-BF-02","0234460",Haida Apartment BuildingTlingit-Haida Regional Housing Authority,,1000,,,,,,true,false,false,false,,,,855,AEA,"2015 Assessment",POINT (-132.8223876953125 55.20611572265625)
"3585D40E-898B-4939-9239-5E8763D652DB",39,,"257-BF-18","0237650",Kasaan Power,,19992,,,,,,true,false,false,false,,,,672,AEA,,POINT (-132.396484375 55.535888671875)
"7A634204-0D42-424E-B19E-058E52FB63DB",40,,"257-BF-16","0237650",Kasaan Bulk Fuel,,10208,,,,,,true,false,false,false,,,,673,AEA,,POINT (-132.39581298828125 55.5364990234375)
D1E9B280-33D0-4584-B779-96F3378A1E4B,41,,"257-BF-01","0237650",Norpex Lumber,,10000,,,,,,true,false,false,false,,,,856,AEA,,POINT (-132.39599609375 55.5377197265625)
"0B7A618A-4185-4D5C-8B45-57361B2432E2",42,,,"0240400",Klawock Island Fuels,,120000,,,,,,true,false,false,false,,,,674,AEA,"2015 Assessment",POINT (-133.08160400390625 55.552490234375)
"3B7A4949-DC0C-4487-A692-3A82A1E0208D",43,,"268-BF-01","0240400","Tlingit-Haida Regional Electric Authority12480 Mendenhall Loop RoadJuneau, AK  99803",,1000,,,,,,true,false,false,false,,,,675,AEA,"2015 Assessment",POINT (-133.09600830078125 55.5543212890625)
"596974D7-F780-4D0D-AD2B-2F58BAC71571",44,,,"0240400",Viking Lumber Co.,,19984,,,,,,true,false,false,false,,,,676,AEA,"2015 Assessment",POINT (-133.102294921875 55.54132080078125)
"3F596E2B-A780-43C1-A340-4B36328A1F83",45,,,"0248870",Guthrie Fuel Service,,117000,,,,,,true,false,false,false,,,,886,AEA,"2015 Assessment",POINT (-131.56060791015625 55.12127685546875)
A1945276-60BA-4DE2-8B03-D3ED2EAEBA26,46,,,"0248870",Louisiana Pacific Ketchikan/Annette Hemlock Mill,,11300,,,,,,true,false,false,false,,,,887,AEA,"2015 Assessment",POINT (-131.56390380859375 55.1248779296875)
ED4F5011-31F9-4D8C-88A0-EED50DDE9C4C,47,,"294-BF-03","0248870",Annette Island Gas Service,7,77400,30000,45600,,,,true,false,false,false,Petro Marine,"Site Location: Tank farm in flood plain; Facility threatened by coastal erosion/avalanche/river erosion/other; Tank Farm within 100-feet of a well. 
Secondary Containment:  No containment; Inadequate containment. 
Foundations:  Belly of tank more than 12i",400,888,AEA,"2015 Assessment",POINT (-131.5576171875 55.12371826171875)
"93B075DF-FD65-4374-83EE-F837CEB612AA",48,,,"0248870",Metlakatla Power and Light,10,411800,,410000,,,1800,true,false,false,false,Petro Marine,"Site Location: Tank farm in flood plain; Facility threatened by coastal erosion/avalanche/river erosion/other; Tank Farm within 100-feet of a well. 
Secondary Containment:  No containment; Inadequate containment. 
Foundations:  Belly of tank more than 12i",100,889,AEA,"2015 Assessment",POINT (-131.54608154296875 55.11712646484375)
ABC8D56B-A787-4CE7-A688-D7B9AAD7DE8B,54,,,"0259650","Pelican SeafoodsKake Tribal CorporationBox 263Kake, AK",,145185,,,,,,true,false,false,false,,,,626,AEA,,POINT (-136.2318115234375 57.9600830078125)
"9E08B983-031B-412A-99CF-E3CD28560FC4",55,,,"0259650",Pelican City Schools,,2000,,,,,,true,false,false,false,,,,852,AEA,,POINT (-136.221923828125 57.9569091796875)
B5F9DF89-516A-4284-9CF3-8F1871A3A263,56,,,"0261190",Point Baker Trading Post,,20180,,,,,,true,false,false,false,,,,874,AEA,,POINT (-133.62261962890625 56.35369873046875)
"8D44AF61-AB31-4870-AB4E-4D0246D4376E",57,,,"0263870",Wooden Wheel Cove Trading Post,,24094,,,,,,true,false,false,false,,,,878,AEA,,POINT (-133.61248779296875 56.32232666015625)
"5EB1AA1E-67B9-4C04-8A91-2EEE1893AB22",61,,,"0277140",Petro Alaska,,276000,,,,,,true,false,false,false,,,,677,AEA,"2015 Assessment",POINT (-132.5416259765625 55.6903076171875)
"86E650B9-1319-42EF-B571-A4AFD46E468A",62,,,"0277140",City of Thorne Bay,,6000,,,,,,true,false,false,false,,,,678,AEA,"2015 Assessment",POINT (-132.5225830078125 55.68548583984375)
"44A8C085-BF24-471E-871F-5A8A8E0BED6F",63,,,"0277140",U.S. Forest Service,,20455,,,,,,true,false,false,false,,,,679,AEA,"2015 Assessment",POINT (-132.53228759765625 55.6881103515625)
"1B7CC7FC-1C14-46E8-8611-7A87DEBB6A85",64,,,"0277140",Monty McDonald,2,9000,5000,4000,,,,true,false,false,false,Petro Marine,"Site Location: Tank farm in flood plain; Facility threatened by coastal erosion/avalanche/river erosion/other; Tank Farm within 100-feet of a well. 
Secondary Containment:  No containment; Inadequate containment. 
Foundations:  Belly of tank more than 12i",,680,AEA,"2015 Assessment",POINT (-132.53228759765625 55.6881103515625)
"65B42E6B-24F8-4E87-94F1-6944E74EE67B",64,,,"0277140",Monty McDonald,2,9000,5000,4000,,,,true,false,false,false,Petro Marine,"Site Location: Tank farm in flood plain; Facility threatened by coastal erosion/avalanche/river erosion/other; Tank Farm within 100-feet of a well. 
Secondary Containment:  No containment; Inadequate containment. 
Foundations:  Belly of tank more than 12i",,680,AEA,"2015 Assessment",POINT (-132.53228759765625 55.6881103515625)
"6DDFF002-8AD8-4274-9BB0-7EC701513845",66,,,"0277140",Donald Hayes - Bayview Fuel and Tire,1,2000,2000,0,,,,true,false,false,false,Petro Marine,"Site Location: Tank farm in flood plain; Facility threatened by coastal erosion/avalanche/river erosion/other; Tank Farm within 100-feet of a well. 
Secondary Containment:  No containment; Inadequate containment. 
Foundations:  Belly of tank more than 12i",,682,AEA,"2015 Assessment",POINT (-132.52520751953125 55.68511962890625)
"43AF95F7-DBE3-4585-87E8-E416FF06342B",72,,"256-BF-01","0237540",Native Village of Karluk,,50000,,,,,,true,false,false,false,,,,173,AEA,,POINT (-154.43560791015625 57.5640869140625)
FC7172A9-1AD9-4D0C-A042-488D9BE77C44,73,,"283-BF-01","0243040",Kodiak Salmon Packers,,128900,,,,,,true,false,false,false,,,,63,AEA,,POINT (-153.99029541015625 57.5377197265625)
"801CC974-B897-41D3-A9FB-A3B7C883E0FA",77,,"351-BF-01","0257340",Old Harbor Fuel Company,,76400,,,,,,true,false,false,false,,,,646,AEA,,POINT (-153.305908203125 57.20428466796875)
"0491888E-6920-4836-8099-4A0EE9529B8A",79,,"351-BF-02","0257340",Old Harbor Native Corporation,,5300,,,,,,true,false,false,false,,,,648,AEA,,POINT (-153.305908203125 57.20428466796875)
D98885C5-A822-4810-810F-CB8B2F5DFDB0,80,,,"0258550",Ouzinkie Native Corp. Fuel Facility,,71600,,,,,,true,false,false,false,,,,649,AEA,,POINT (-152.4871826171875 57.92108154296875)
"63C5CA7F-C393-4342-8E80-D7F62055405D",83,,"366-BF-01","0263280",Port Graham Corporation,,91200,,,,,,true,false,false,false,,,,57,AEA,,POINT (-151.82928466796875 59.35028076171875)
"7C257586-80F1-486E-8553-C7820F24243E",84,,,"0263610","Port Lions Tribal Council, dba",,90600,,,,,,true,false,false,false,,,,834,AEA,,POINT (-152.8804931640625 57.868896484375)
"643042A2-CA9E-4BF2-B2DA-99F186999078",85,,"370-BF-03","0263610",Kodiak Electric Association,,1100,,,,,,true,false,false,false,,,,835,AEA,,POINT (-152.8828125 57.86810302734375)
"8A61B008-E3EC-4C08-8075-DDF79CCEE7F8",87,,,"0212970",Chenega Bay IRA Council,,60000,,,,,,true,false,false,false,,,,992,AEA,,POINT (-148.00982666015625 60.06549072265625)
"21834ECF-DD77-4715-AAE4-CF990659EA4F",88,,"126-BF-03","0212970","Chugach School District9312 Vanguard Drive, Suite 100Anchorage, Alaska  99507",,10000,,,,,,true,false,false,false,,,,993,AEA,,POINT (-148.0126953125 60.065673828125)
"4DB9B26B-6708-445E-8807-973AB9424037",89,,"126-BF-16","0212970",Chugach School District,,2000,,,,,,true,false,false,false,,,,615,AEA,,POINT (-148.01202392578125 60.06591796875)
"199DCD38-B4D0-4C40-B569-F661EB0257D1",90,ANC-C-014,,"0214330",City of Chuathbaluk,2,17100,16000,16000,,,,true,false,false,true,,,,142,AEA,,POINT (-159.2467041015625 61.5718994140625)
"0B4B4DA6-9C1B-4718-9A8F-EF5DCAB522D8",92,,"138-BF-01","0214330",Middle Kuskokwim Electric Cooperative,,6200,,,,,,true,false,false,false,,,,297,AEA,,POINT (-159.23919677734375 61.5753173828125)
