fips_code,name,service_area_generation_mwh,fuel_type,year
0200065,Adak,380.127,Distillate Fuel Oil,2008
0200065,Adak,2868.799,Distillate Fuel Oil,2009
0200065,Adak,1869.048,Distillate Fuel Oil,2010
0200065,Adak,1885.810,Distillate Fuel Oil,2011
0200065,Adak,3656.038,Distillate Fuel Oil,2012
0200065,Adak,2681.948,Distillate Fuel Oil,2013
0200065,Adak,2060.313,Distillate Fuel Oil,2014
0200065,Adak,2017.680,Distillate Fuel Oil,2015
0200065,Adak,1977.794,Distillate Fuel Oil,2016
0200065,Adak,1987.416,Distillate Fuel Oil,2017
0200065,Adak,2071.426,Distillate Fuel Oil,2018
0200065,Adak,2142.743,Distillate Fuel Oil,2019
0200065,Adak,1983.991,Distillate Fuel Oil,2020
0200065,Adak,1845.950,Distillate Fuel Oil,2021
0200650,Akhiok,120.649,Distillate Fuel Oil,2001
0200650,Akhiok,17.825,Distillate Fuel Oil,2002
0200650,Akhiok,70.370,Distillate Fuel Oil,2013
0200650,Akhiok,252.263,Distillate Fuel Oil,2014
0200650,Akhiok,257.111,Distillate Fuel Oil,2015
0200650,Akhiok,312.066,Distillate Fuel Oil,2016
0200650,Akhiok,272.273,Distillate Fuel Oil,2017
0200650,Akhiok,275.529,Distillate Fuel Oil,2018
0200650,Akhiok,249.420,Distillate Fuel Oil,2019
0200650,Akhiok,250.903,Distillate Fuel Oil,2020
0200650,Akhiok,286.831,Distillate Fuel Oil,2021
0200760,Akiachak,593.263,Distillate Fuel Oil,2001
0200760,Akiachak,1293.111,Distillate Fuel Oil,2002
0200760,Akiachak,1277.812,Distillate Fuel Oil,2003
0200760,Akiachak,1446.431,Distillate Fuel Oil,2004
0200760,Akiachak,1748.743,Distillate Fuel Oil,2005
0200760,Akiachak,1835.935,Distillate Fuel Oil,2006
0200760,Akiachak,1738.817,Distillate Fuel Oil,2007
0200760,Akiachak,2811.711,Distillate Fuel Oil,2008
0200760,Akiachak,1966.326,Distillate Fuel Oil,2009
0200760,Akiachak,1901.467,Distillate Fuel Oil,2010
0200760,Akiachak,1885.185,Distillate Fuel Oil,2011
0200760,Akiachak,1963.726,Distillate Fuel Oil,2012
0200760,Akiachak,1908.909,Distillate Fuel Oil,2013
0200760,Akiachak,1871.996,Distillate Fuel Oil,2014
0200760,Akiachak,1951.908,Distillate Fuel Oil,2015
0200760,Akiachak,1971.032,Distillate Fuel Oil,2016
0200760,Akiachak,1945.101,Distillate Fuel Oil,2017
0200760,Akiachak,1919.966,Distillate Fuel Oil,2018
0200760,Akiachak,1733.814,Distillate Fuel Oil,2019
0200760,Akiachak,1910.344,Distillate Fuel Oil,2020
0200760,Akiachak,2003.701,Distillate Fuel Oil,2021
0200870,Akiak,179.910,Distillate Fuel Oil,2001
0200870,Akiak,897.143,Distillate Fuel Oil,2003
0200870,Akiak,906.539,Distillate Fuel Oil,2004
0200870,Akiak,1117.234,Distillate Fuel Oil,2005
0200870,Akiak,1026.299,Distillate Fuel Oil,2006
0200870,Akiak,1158.294,Distillate Fuel Oil,2007
0200870,Akiak,1091.263,Distillate Fuel Oil,2008
0200870,Akiak,1061.523,Distillate Fuel Oil,2009
0200870,Akiak,1109.799,Distillate Fuel Oil,2010
0200870,Akiak,1059.510,Distillate Fuel Oil,2011
0200870,Akiak,1208.747,Distillate Fuel Oil,2012
0200870,Akiak,1176.879,Distillate Fuel Oil,2013
0200870,Akiak,1204.634,Distillate Fuel Oil,2014
0200870,Akiak,1067.311,Distillate Fuel Oil,2015
0200870,Akiak,1133.561,Distillate Fuel Oil,2016
0200870,Akiak,1203.404,Distillate Fuel Oil,2017
0200870,Akiak,1202.145,Distillate Fuel Oil,2018
0200870,Akiak,929.501,Distillate Fuel Oil,2019
0200870,Akiak,997.522,Distillate Fuel Oil,2020
0200870,Akiak,224.694,Distillate Fuel Oil,2021
0201090,Akutan,248.458,Distillate Fuel Oil,2001
0201090,Akutan,537.520,Distillate Fuel Oil,2002
0201090,Akutan,12.286,Water at Hydroelectric Turbine,2002
0201090,Akutan,574.650,Distillate Fuel Oil,2003
0201090,Akutan,1.664,Water at Hydroelectric Turbine,2003
0201090,Akutan,528.244,Distillate Fuel Oil,2004
0201090,Akutan,535.352,Distillate Fuel Oil,2005
0201090,Akutan,527.647,Distillate Fuel Oil,2006
0201090,Akutan,103.762,Water at Hydroelectric Turbine,2006
0201090,Akutan,609.862,Distillate Fuel Oil,2007
0201090,Akutan,0.825,Water at Hydroelectric Turbine,2007
0201090,Akutan,667.067,Distillate Fuel Oil,2008
0201090,Akutan,567.169,Distillate Fuel Oil,2009
0201090,Akutan,12.924,Water at Hydroelectric Turbine,2009
0201090,Akutan,603.591,Distillate Fuel Oil,2010
0201090,Akutan,501.375,Distillate Fuel Oil,2011
0201090,Akutan,42.111,Water at Hydroelectric Turbine,2011
0201090,Akutan,366.944,Distillate Fuel Oil,2012
0201090,Akutan,365.204,Water at Hydroelectric Turbine,2012
0201090,Akutan,530.167,Distillate Fuel Oil,2013
0201090,Akutan,86.922,Water at Hydroelectric Turbine,2013
0201090,Akutan,661.252,Distillate Fuel Oil,2014
0201090,Akutan,285.172,Distillate Fuel Oil,2015
0201090,Akutan,2.142,Water at Hydroelectric Turbine,2015
0201090,Akutan,463.935,Distillate Fuel Oil,2016
