name,long_name,description,type,nullable,unit,file
airport,Airport,"Answers the question: Does the Community have an airport? (""t"" for yes, and ""f"" for no)",boolean,TRUE,null,default
as_of_date,As of Date,When the transportation dataset last updated,string,TRUE,null,default
capacity_mw,Electric Generation Capacity,Generation capacity represents the maximum amount of electricity that can be generated at any given time dependent on certain conditions,number,TRUE,MW,default
cargo_barge,Cargo Barge,"Answers the question: Is the Community served by a cargo barge? (""t"" for yes, and ""f"" for no)",boolean,TRUE,null,default
coastal,Coastal,"Answers the question: Is the Community located on the coast? (""t"" for yes, and ""f"" for no)",boolean,TRUE,null,default
community_fips_code,Community FIPS Code,"5-digit Federal Information Processing Series (FIPS) code identifier for places, assigned and maintained by the Census Bureau",string,FALSE,null,default
description,Description,Narrative description,string,TRUE,null,default
fips_code,FIPS Code,"5-digit Federal Information Processing Series (FIPS) code identifier for places and boroughs (counties), assigned and maintained by the Census Bureau",string,FALSE,null,default
fuel_type,Fuel Type,Generation fuel as defined by the U.S. Energy Information Administration (EIA),string,TRUE,null,default
fuel_type_code,Fuel Type Code,Code indicating generation fuel as defined by the U.S. Energy Information Administration (EIA),string,FALSE,null,default
fuel_type_name,Fuel Type,Generation fuel,string,FALSE,null,default
grid,Grid Name,"The unique grid name, which is based on the primary Alaskan community in the grid",string,FALSE,null,default
grid_id,Grid ID,A unique identifier of the grid in Alaska as determined for AEDG,integer,FALSE,null,default
harbor_dock,Harbor Dock,"Answers the question: Does the Community have a harbor with a dock? (""t"" for yes, and ""f"" for no)",boolean,TRUE,null,default
month,Month,Month as 1-12 for which generation was reported,integer,FALSE,null,default
name,Community Name,Name of the community,string,FALSE,null,default
net_generation_mwh,Net Generation (MWh),Net electrical generation as Megawatt Hour aggregated by grid,number,TRUE,MWh,default
road_connection,Road Connection,"Answers the question: Is the Community connected to a road system to other communities? (""t"" for yes, and ""f"" for no)",boolean,TRUE,null,default
road_or_ferry,Road or Ferry,"Answers the question: Is the Community served by a state ferry or a road? (""t"" for yes, and ""f"" for no)",boolean,TRUE,null,default
state_ferry,State Ferry,"Answers the question: Is the Community served by a state ferry? (""t"" for yes, and ""f"" for no)",boolean,TRUE,null,default
total_population,Total Population,Total population of the community,integer,TRUE,null,default
year,Year,Four digit year as Common Era (CE),integer,FALSE,null,default
year,Year,Four digit year as Common Era (CE) for which generation capacity was summarized,integer,FALSE,null,capacity.csv
year,Year,Four digit year as Common Era (CE) for which generation capacity was summarized,integer,FALSE,null,public_capacity.csv
fuel_type,Fuel Type,"Name of fuel type reported, either heating fuel or gasoline",string,TRUE,null,public_fuel_prices.csv
price,Fuel Price USD,"Retail price of fuel, expressed as U. S. Dollars (USD) per gallon. Prices are ""point in time"" as reported by local vendors and contacts.",number,TRUE,USD/gal,public_fuel_prices.csv
