attribute,word_or_phrase
keyword,EIA Form 923
keyword,Power Cost Equalization (PCE)
keyword,age
keyword,airport
keyword,barge
keyword,census
keyword,coastal
keyword,community
keyword,dock
keyword,electricity
keyword,employment
keyword,ferry
keyword,fuel type
keyword,gasoline
keyword,generation
keyword,grid
keyword,harbor
keyword,heating fuel
keyword,population conditions
keyword,power plant
keyword,report
keyword,road
keyword,sex
keyword,ship
keyword,survey
keyword,total population
topic,Electricity
topic,Energy
topic,Infrastructure
topic,Social
