name,long_name,description,type,nullable,unit,file
fips_code,Community FIPS Code,Do not use this one,string,FALSE,null,default
grid_id,Grid ID,A unique identifier of the grid in Alaska as determined for AEDG,integer,FALSE,null,default
name,Community name,Name of the community,string,FALSE,null,default
net_generation_mwh,Net Generation (MWh),Net electrical generation aggregated by grid,number,TRUE,Megawatt Hour,default
fuel_type_code,Fuel Type Code,Code indicating generation fuel as defined by the EIA,string,FALSE,null,default
fuel_type_name,Fuel Type,Generation fuel,string,FALSE,null,default
year,Year,Four digit year as Common Era (CE) not this,integer,FALSE,null,no_default.csv
month,Month,Month as 1-12 for which generation was reported,integer,FALSE,null,default
fips_code,Community FIPS Code,"Communities are identified by a 5-digit Federal Information Processing Series (FIPS) codes, formerly referred to as FIPS55, assigned and maintained by the Census Bureau",string,FALSE,null,public_monthly_generation.csv
fips_code,Community FIPS Code,not this one either,string,FALSE,null,public_another.csv
year,Year,Four digit year as Common Era (CE),integer,FALSE,null,public_monthly_generation.csv
